question_ID,gold_label
0,2
1,3
2,1
3,1
4,0
5,3
6,0
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,3
19,3
20,0
21,3
22,3
23,1
24,1
25,0
26,2
27,0
28,0
29,3
30,3
31,2
32,0
33,0
34,2
35,0
36,2
37,2
38,0
39,1
40,0
41,3
42,3
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,3
51,1
52,1
53,3
54,0
55,0
56,0
57,2
58,2
59,0
60,3
61,3
62,1
63,2
64,0
65,0
66,3
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,3
84,1
85,0
86,2
87,0
88,0
89,0
90,3
91,0
92,0
93,0
94,0
95,2
96,0
97,0
98,2
99,0
100,1
101,2
102,0
103,0
104,0
105,1
106,0
107,2
108,0
109,0
110,2
111,3
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,2
121,1
122,0
123,0
124,0
125,0
126,0
127,2
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,3
140,0
141,0
142,2
143,3
144,3
145,0
146,1
147,2
148,0
149,0
150,2
151,0
152,0
153,3
154,1
155,0
156,0
157,0
158,3
159,0
160,2
161,0
162,0
163,0
164,0
165,2
166,0
167,2
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,2
177,1
178,0
179,3
180,0
181,0
182,3
183,0
184,0
185,1
186,0
187,3
188,1
189,0
190,1
191,0
192,0
193,0
194,2
195,1
196,0
197,3
198,1
199,3
200,3
201,3
202,3
203,3
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,3
212,0
213,2
214,1
215,0
216,1
217,3
218,3
219,0
220,0
221,1
222,1
223,0
224,1
225,2
226,0
227,1
228,2
229,0
230,1
231,3
232,1
233,0
234,0
235,3
236,0
237,3
238,0
239,0
240,0
241,0
242,2
243,0
244,1
245,0
246,3
247,0
248,2
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,2
260,0
261,2
262,0
263,0
264,1
265,0
266,3
267,1
268,0
269,0
270,0
271,1
272,1
273,2
274,0
275,0
276,0
277,0
278,3
279,1
280,1
281,3
282,0
283,0
284,0
285,1
286,3
287,1
288,0
289,1
290,1
291,0
292,3
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,2
305,0
306,0
307,0
308,0
309,1
310,0
311,0
312,1
313,3
314,3
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,3
323,2
324,2
325,0
326,3
327,3
328,1
329,1
330,0
331,0
332,0
